Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"Eastaugh, Mr. Tony",09/07/2015,,London Stansted,CONFERENCE/EVENT,Air Tickets,Economy,,,49.22,,Redfern
"Montgomery, Sir Charles Percival",09/07/2015,,,Hampton Wick to London Waterloo using TES Contactless card following senior directors away day.,"T&S - Planes, Trains and Automobiles",,,,3.70,,
"Otter, Mr. Stephen Anthony",09/07/2015,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,80.85,,Redfern
"Parsons, Mr. Michael John",09/07/2015,,,Taxis - various - to/from stations,Taxis,,,,30.82,,
"Parsons, Mr. Michael John",09/07/2015,,Cardiff Central,EXTERNAL MEETING,Rail,Standard,,,91.98,,Redfern
"Duffy, Mr. Philip",10/07/2015,,Herne Hill,CONFERENCE/EVENT,Rail,Standard,,,7.39,,Redfern
"Montgomery, Sir Charles Percival",10/07/2015,,,London Underground from Oval to London Waterloo,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Pratt, Mr. Alan Palaic",10/07/2015,,,Meetings at Sandridge and return,T&S - Employee Reimbursed Mileage,,,,4.40,,
"Storr, Mr. Peter Richard",10/07/2015,,,JHAC with Home Secreatry,T&S - Overseas Expenses,,,,279.22,,
"Sutton, Mr. Kenneth David",10/07/2015,,,Unable to use public transport,Taxis,,,,15.00,,
"Sutton, Mr. Kenneth David",10/07/2015,,,Unable to use public transport,Taxis,,,,20.00,,
"Sutton, Mr. Kenneth David",10/07/2015,,Feltham,EXTERNAL MEETING,Rail,Standard,,,18.02,,Redfern
"Montgomery, Sir Charles Percival",11/07/2015,,,Cost of calls on personal mobile during work visit to Turkey between 16-18.06.15.  Corporate security advised DG not to take work blackberry.,T&S - Subsistence,,,,37.00,,
"Hills, Mr. Gareth David",13/07/2015,,,Liverpool Limestreet to Radisson Hotel,Taxis,,,,4.40,,
"Hills, Mr. Gareth David",13/07/2015,,,evening meal,T&S - Subsistence,,,,15.00,,
"Hills, Mr. Gareth David",13/07/2015,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,69.82,,Redfern
"Hills, Mr. Gareth David",13/07/2015,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,196.31,,Redfern
"Ind, Mr. Hugh Timothy",13/07/2015,,Fee 1.17,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Montgomery, Sir Charles Percival",13/07/2015,,Brussels,EXTERNAL MEETING,,,Hotel (Foreign) Room,,70.10,,Redfern
"Montgomery, Sir Charles Percival",13/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Otter, Mr. Stephen Anthony",13/07/2015,,London Paddington,INTERNAL MEETING,Rail,Standard,,,7.89,,Redfern
"Arnott, Dr. Robert Henry",14/07/2015,,,2MS to French Amb Res - Nat Day,Taxis,,,,17.00,,
"Cunningham, Mr. Michael Bernard",14/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,207.78,,Redfern
"Montgomery, Sir Charles Percival",14/07/2015,,,London Underground from St Pancras to London Waterloo using TES Contactless card following visit to Belgium.,"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Sutton, Mr. Kenneth David",14/07/2015,,London Zones 1-4,EXTERNAL MEETING,Rail,Standard,,,13.14,,Redfern
"Calam, Ms. Mary-Jane",15/07/2015,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,59.78,,Redfern
"Calam, Ms. Mary-Jane",15/07/2015,,Nottingham,EXTERNAL MEETING,Rail,Standard,,,69.05,,Redfern
"Cunningham, Mr. Michael Bernard",15/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,207.78,,Redfern
"Duffy, Mr. Philip",15/07/2015,,,Monthly SCS/Performance Opps Board,Conferences (& Hospitality),,,,17.50,,
"Duffy, Mr. Philip",15/07/2015,,London Paddington,CONFERENCE/EVENT,Rail,Standard,,,7.39,,Redfern
"Hepple, Mr. Tyson Julian",15/07/2015,,,Taxi from Brussels Midi station to UKREP building,T&S - Overseas Expenses,,,,10.42,,
"Hepple, Mr. Tyson Julian",15/07/2015,,,Taxi from Brussels Midi station to UKREP building,T&S - Overseas Expenses,,,,10.42,,
"Hepple, Mr. Tyson Julian",15/07/2015,,,"Working lunch with EU Commission Director  - two main courses, water and one coffee.","Canteens, Lunches, Vending",,,,26.41,,
"Hepple, Mr. Tyson Julian",15/07/2015,,,"Working lunch with EU Commission Director  - two main courses, water and one coffee.","Canteens, Lunches, Vending",,,,26.41,,
"Hepple, Mr. Tyson Julian",15/07/2015,,,Brussels ticket,T&S - Subsistence,,,,1.48,,
"Hepple, Mr. Tyson Julian",15/07/2015,,,Brussels ticket,T&S - Subsistence,,,,1.48,,
"Montgomery, Sir Charles Percival",15/07/2015,,HEATHROW TERM123,INTERNAL MEETING,Rail,Standard,,,35.88,,Redfern
"Montgomery, Sir Charles Percival",15/07/2015,,London Heathrow,EXTERNAL MEETING,,,Hotel Room,,80.88,,Redfern
"Montgomery, Sir Charles Percival",15/07/2015,,,INTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Morrison, Mr. Paul Noble Wilson",15/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Sedwill, Mr. Mark",15/07/2015,,,Travel to NSC(O),Taxis,,,,6.00,,
"Thomson, Mr. Mark David",15/07/2015,,,cyber security summit in Tower Hill,Taxis,,,,5.80,,
"Wells, Mr. Michael Charles",15/07/2015,,,Taxi from Lime St Station to Capitol building,Taxis,,,,6.00,,
"Wells, Mr. Michael Charles",15/07/2015,,,Taxi from Capitol Building to lime St Station,Taxis,,,,5.00,,
"Wells, Mr. Michael Charles",15/07/2015,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,144.00,,Redfern
"Field, Ms. Ann-Marie",16/07/2015,,Wakefield Westgate,INTERNAL MEETING,Rail,Standard,,,-50.39,,Redfern
"Field, Ms. Ann-Marie",16/07/2015,,Wakefield Westgate,INTERNAL MEETING,Rail,Standard,,,101.51,,Redfern
"Foy, Mr. Timothy John",16/07/2015,,Edinburgh,INTERNAL MEETING,Air Tickets,Economy,,,324.61,,Redfern
"Montgomery, Sir Charles Percival",16/07/2015,,,Refund for hotel stay in Heathrow for official visit as T&E card charged twice,T&S - Hotels,,,,-79.00,,
"Montgomery, Sir Charles Percival",16/07/2015,,,Hotel stay in Heathrow for official visit on 15.07.15,T&S - Hotels,,,,79.00,,
"Otter, Mr. Stephen Anthony",16/07/2015,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,34.08,,Redfern
"Otter, Mr. Stephen Anthony",16/07/2015,,Oxford,EXTERNAL MEETING,Rail,Standard,,,11.57,,Redfern
"Shipley, Mr. Gordon Michael",16/07/2015,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,178.89,,Redfern
"Shipley, Mr. Gordon Michael",16/07/2015,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,6.74,,Redfern
"Sutton, Mr. Kenneth David",16/07/2015,,Ashford International,EXTERNAL MEETING,Rail,Standard,,,67.07,,Redfern
"Sutton, Mr. Kenneth David",16/07/2015,,London Zones 1-4,EXTERNAL MEETING,Rail,Standard,,,14.56,,Redfern
"Driskell, Mr. Norman",17/07/2015,,,Visit to Fleet Street,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.60,,
"Ind, Mr. Hugh Timothy",17/07/2015,,Catford Station,EXTERNAL MEETING,Rail,Standard,,,13.43,,Redfern
"Sutton, Mr. Kenneth David",17/07/2015,,Folkestone West,EXTERNAL MEETING,Rail,Standard,,,44.42,,Redfern
"Sutton, Mr. Kenneth David",17/07/2015,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,14.56,,Redfern
"Wood, Mr. David Leonard",17/07/2015,,,Visit to Exit Checks team in Bedfont Lakes,T&S - Employee Reimbursed Mileage,,,,44.80,,
"Cunningham, Mr. Michael Bernard",20/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,215.67,,Redfern
"Cunningham, Mr. Michael Bernard",20/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Duffy, Mr. Philip",20/07/2015,,,Operation Directors Dinner,"Canteens, Lunches, Vending",,,,132.58,,
"Duffy, Mr. Philip",20/07/2015,,,Operation Directors Dinner,"Canteens, Lunches, Vending",,,,132.58,,
"Lamberti, Mr. David James",20/07/2015,,,Visiting Police Scotland/HMICSTaxi from airport to hotel,Taxis,,,,23.00,,
"Lamberti, Mr. David James",20/07/2015,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,161.78,,Redfern
"Lamberti, Mr. David James",20/07/2015,,Edinburgh,EXTERNAL MEETING,,,Hotel Non Smoking One Double Bed,,78.87,,Redfern
"Martin, Mr. Ian Richard",20/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Otter, Mr. Stephen Anthony",20/07/2015,,London Paddington,INTERNAL MEETING,Rail,Standard,,,38.47,,Redfern
"Storr, Mr. Peter Richard",20/07/2015,,,"EU Renegation Meeting , Brussels",T&S - Overseas Expenses,,,,13.64,,
"Storr, Mr. Peter Richard",20/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,2.06,,Redfern
"Cunningham, Mr. Michael Bernard",21/07/2015,,,INTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Hepple, Mr. Tyson Julian",21/07/2015,,,Charge for withdrawing Euros,T&S - Overseas Expenses,,,,2.81,,
"Hepple, Mr. Tyson Julian",21/07/2015,,,Charge for withdrawing Euros,T&S - Overseas Expenses,,,,2.81,,
"Hepple, Mr. Tyson Julian",21/07/2015,,,Taxi from Luxembourg airport to hotel at 10pm in the evening,T&S - Overseas Expenses,,,,28.17,,
"Hepple, Mr. Tyson Julian",21/07/2015,,,Taxi from Luxembourg airport to hotel at 10pm in the evening,T&S - Overseas Expenses,,,,28.17,,
"Lamberti, Mr. David James",21/07/2015,,London Gatwick,EXTERNAL MEETING,Air Tickets,Economy,,,86.89,,Redfern
"Lamberti, Mr. David James",21/07/2015,,London Victoria,CONFERENCE / EVENT,Rail,Standard,,,21.14,,Redfern
"Montgomery, Sir Charles Percival",21/07/2015,,Dover Stns,DETACHED DUTY,Rail,Standard,,,6.75,,Redfern
"Oppenheim, Mr. Jeremy",21/07/2015,,,dinnr whilst attending external meetings in Sheffield/Rotherham on 21/22 July 2015,T&S - Subsistence,,,,26.00,,
"Oppenheim, Mr. Jeremy",21/07/2015,,,taxi from Sheffield Station to S Yorks Police HQ,Taxis,,,,5.00,,
"Oppenheim, Mr. Jeremy",21/07/2015,,,Taxi from 2 Marsham Street to St Pancras to catch trin to Sheffield for meetings in Sheffield/Rotherham,Taxis,,,,19.80,,
"Oppenheim, Mr. Jeremy",21/07/2015,,Doncaster/Sheffield,EXTERNAL MEETING,,,Hotel Room,,1.41,,Redfern
"Oppenheim, Mr. Jeremy",21/07/2015,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,89.05,,Redfern
"Oppenheim, Mr. Jeremy",21/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Williams, Mr. Glyn",21/07/2015,,,"Oyster travel card (personal) - no receipt, charged to online account.","T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.60,,
"Cunningham, Mr. Michael Bernard",22/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,334.63,,Redfern
"Cunningham, Mr. Michael Bernard",22/07/2015,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- Queen Size,,126.47,,Redfern
"Cunningham, Mr. Michael Bernard",22/07/2015,,Preston,INTERNAL MEETING,Rail,Standard,,,16.91,,Redfern
"Duffy, Mr. Philip",22/07/2015,,,Monthly SCS/Performance Opps Board,Conferences (& Hospitality),,,,17.50,,
"Duffy, Mr. Philip",22/07/2015,,,Monthly SCS/Performance Opps Board,Conferences (& Hospitality),,,,17.50,,
"Hepple, Mr. Tyson Julian",22/07/2015,,,Accommodation in designated hotel,T&S - Overseas Expenses,,,,153.52,,
"Hepple, Mr. Tyson Julian",22/07/2015,,,Accommodation in designated hotel,T&S - Overseas Expenses,,,,153.52,,
"Martin, Mr. Ian Richard",22/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Montgomery, Sir Charles Percival",22/07/2015,,,London Waterloo to London St Pancras on underground using TES Contactless card for work visit to Dover.,"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Montgomery, Sir Charles Percival",22/07/2015,,,Refreshment on train during work visit to Dover and France using TES Contactless card,"T&S - Planes, Trains and Automobiles",,,,2.55,,
"Montgomery, Sir Charles Percival",22/07/2015,,,Refresment on train for work visit to Dover and France using TES contactless card.,"T&S - Planes, Trains and Automobiles",,,,3.95,,
"Montgomery, Sir Charles Percival",22/07/2015,,Dover Stns,EXTERNAL MEETING,Rail,Standard,,,41.94,,Redfern
"Oppenheim, Mr. Jeremy",22/07/2015,,,taxi from St Pancrws to 2 Marsham Street on return from official vist to Sheffield/Rotherham.,Taxis,,,,18.48,,
"Oppenheim, Mr. Jeremy",22/07/2015,,,Overnight stay whilst attending meetings in Sheffield/Rotherham. Hotel booked through Redfrn but hotel charged Jeremy ratehr than centrqally charging Redfern.f,T&S - Hotels,,,,62.00,,
"Oppenheim, Mr. Jeremy",22/07/2015,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,177.61,,Redfern
"Oppenheim, Mr. Jeremy",22/07/2015,,Rotherham Central,EXTERNAL MEETING,Rail,Standard,,,4.35,,Redfern
"Eastaugh, Mr. Tony",23/07/2015,,London,CONFERENCE / EVENT,,,Hotel Room,,-100.00,,Redfern
"Eastaugh, Mr. Tony",23/07/2015,,London,CONFERENCE/EVENT,,,Hotel Room,,101.40,,Redfern
"Montgomery, Sir Charles Percival",23/07/2015,,,London St Pancras to London Waterloo on underground using TES Contactless card following work visit to France.,"T&S - Planes, Trains and Automobiles",,,,2.30,,
"Montgomery, Sir Charles Percival",23/07/2015,,London St Pancras,EXTERNAL MEETING,Air Tickets,Standard,,,127.62,,Redfern
"Otter, Mr. Stephen Anthony",23/07/2015,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,121.84,,Redfern
"Storr, Mr. Peter Richard",23/07/2015,,,"SCIFA Informal Meeting, Luxembourg",T&S - Overseas Expenses,,,,2.91,,
"Storr, Mr. Peter Richard",23/07/2015,,,"SCIFA Informal, Luxmebourg",T&S - Overseas Expenses,,,,21.50,,
"Storr, Mr. Peter Richard",23/07/2015,,Luxembourg,EXTERNAL MEETING,Air Tickets,Economy,,,227.18,,Redfern
"Wren, Mr. Simon William",23/07/2015,,East Midlands,CONFERENCE/EVENT,,,Hotel Standard- One- Double,,65.80,,Redfern
"Wren, Mr. Simon William",23/07/2015,,Manchester Piccadilly,CONFERENCE/EVENT,Rail,Standard,,,35.87,,Redfern
"Wren, Mr. Simon William",23/07/2015,,Nottingham,CONFERENCE/EVENT,Rail,Standard,,,41.92,,Redfern
"Eastaugh, Mr. Tony",24/07/2015,,Dover Stns,CONFERENCE/EVENT,Rail,Standard,,,45.13,,Redfern
"Montgomery, Sir Charles Percival",24/07/2015,,,Bus from office to London Waterloo using TES Contactless card for travel to HO Sports Day.,"T&S - Planes, Trains and Automobiles",,,,1.50,,
"Montgomery, Sir Charles Percival",24/07/2015,,Thames Ditton,EXTERNAL MEETING,Rail,Standard,,,7.60,,Redfern
"Montgomery, Sir Charles Percival",24/07/2015,,Winchester,EXTERNAL MEETING,Rail,Standard,,,25.25,,Redfern
"Storr, Mr. Peter Richard",24/07/2015,,,"SCIFA Informal, Luxembourg",T&S - Overseas Expenses,,,,133.55,,
"Wren, Mr. Simon William",24/07/2015,,London St Pancras,CONFERENCE/EVENT,Rail,Standard,,,80.76,,Redfern
"Calam, Ms. Mary-Jane",26/07/2015,,,"Travel to COPS Remembrance Service at National Arboretum, Alrewas Staffs",T&S - Employee Reimbursed Mileage,,,,67.12,,
"Arnott, Dr. Robert Henry",27/07/2015,,,2MS to Vict (late working),Taxis,,,,6.30,,
"Duffy, Mr. Philip",27/07/2015,,,Operation Directors Dinner,"Canteens, Lunches, Vending",,,,132.58,,
"Martin, Mr. Ian Richard",27/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
