Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"Duffy, Mr. Philip",17/01/2017,,Folkestone West,EXTERNAL MEETING,Rail,Standard,,,5.00,,Redfern
"Duffy, Mr. Philip",17/01/2017,,Glasgow,EXTERNAL MEETING,Air Tickets,Economy,,,199.40,,Redfern
"Duffy, Mr. Philip",17/01/2017,,Glasgow,EXTERNAL MEETING,,,Hotel Standard,,0.60,,Redfern
"Duffy, Mr. Philip",17/01/2017,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,8.40,,Redfern
"France, Mr. David Paul",17/01/2017,,,Return trip from home to visit Hampshire Fire and Rescue Service; normal place of work is London; journey by car much quicker than by rail.,T&S - Employee Reimbursed Mileage,,,,28.00,,
"Hayes, Mr. Simon Thomas",17/01/2017,,,Taxi (to airport in Turkey),T&S - Overseas Expenses,,,,50.00,,
"Hayes, Mr. Simon Thomas",17/01/2017,,,Travel to airport,T&S - Overseas Expenses,,,,5.20,,
"Hayes, Mr. Simon Thomas",17/01/2017,,,Travel to airport,T&S - Overseas Expenses,,,,1.50,,
"Hayes, Mr. Simon Thomas",17/01/2017,,Istanbul,EXTERNAL MEETING,Air Tickets,Economy,,,103.42,,Redfern
"Hepple, Mr. Tyson Julian",17/01/2017,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,330.00,,Redfern
"Hills, Mr. Gareth David",17/01/2017,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,106.20,,Redfern
"Leach, Mrs. Paula Michelle",17/01/2017,,,London (rtn from Liverpool),Taxis,,,,15.20,,
"Montgomery, Sir Charles Percival",17/01/2017,,,Meal during overnight stay in Aberdeen,T&S - Hotels,,,,26.00,,
"Montgomery, Sir Charles Percival",17/01/2017,,Aberdeen,EXTERNAL MEETING,Air Tickets,Economy,,,230.70,,Redfern
"Montgomery, Sir Charles Percival",17/01/2017,,Aberdeen,EXTERNAL MEETING,,,Hotel Minimum One King Bed,,77.60,,Redfern
"Montgomery, Sir Charles Percival",17/01/2017,,HEATHROW TERM 5,EXTERNAL MEETING,Rail,Standard,,,50.00,,Redfern
"Oppenheim, Mr. Jeremy",17/01/2017,,,taxi from Sunningdale Station to Sunningdale Park to speak at a police event,Taxis,,,,5.00,,
"Oppenheim, Mr. Jeremy",17/01/2017,,,taxi from Sunningdale Park to Sunningdale Station following speaking at a police led event.,Taxis,,,,5.00,,
"Oppenheim, Mr. Jeremy",17/01/2017,,Sunningdale,EXTERNAL MEETING,Rail,Standard,,,19.15,,Redfern
"Pratt, Mr. Alan Palaic",17/01/2017,,,Meetings at Sandridge,T&S - Employee Reimbursed Mileage,,,,4.80,,
"Sedwill, Mr. Mark",17/01/2017,,Canonbury,EXTERNAL MEETING,Rail,Standard,,,4.90,,Redfern
"Sedwill, Mr. Mark",17/01/2017,,New Cross Gate,EXTERNAL MEETING,Rail,Standard,,,9.40,,Redfern
"Sedwill, Mr. Mark",17/01/2017,,Salfords,EXTERNAL MEETING,Rail,Standard,,,10.90,,Redfern
"Williams, Ms. Wendy",17/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,55.10,,Redfern
"Williams, Ms. Wendy",17/01/2017,,Wolverhampton,EXTERNAL MEETING,Rail,Standard,,,56.00,,Redfern
"Arnott, Dr. Robert Henry",18/01/2017,,,TUC to 2MS WLG,Taxis,,,,12.76,,
"Arnott, Dr. Robert Henry",18/01/2017,,,2MS to TUC WLG,Taxis,,,,12.32,,
"Duffy, Mr. Philip",18/01/2017,,,Hotel cost for second night booked as pair following problems with first hotel. Original booking refunded,T&S - Hotels,,,,131.00,,
"Duffy, Mr. Philip",18/01/2017,,,Dinner second evening - no alcohol,T&S - Subsistence,,,,10.00,,
"Duffy, Mr. Philip",18/01/2017,,,Return off peak train ticket Glagow to Gartcosh,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.70,,
"Leach, Mrs. Paula Michelle",18/01/2017,,,London,Taxis,,,,8.40,,
"Leach, Mrs. Paula Michelle",18/01/2017,,,The course organises booked hotel so all attendees (acros the business) are together). You however have to pay,T&S - Hotels,,,,179.00,,
"Lincoln, Mr. Paul Michael",18/01/2017,,,Vaccination for Visit to Kenya (23-27 Jan 17),T&S - Subsistence,,,,123.00,,
"Montgomery, Sir Charles Percival",18/01/2017,,,Refreshment on three day visit,T&S - Subsistence,,,,3.77,,
"Montgomery, Sir Charles Percival",18/01/2017,,Glasgow Queen Street,EXTERNAL MEETING,Rail,Standard,,,13.30,,Redfern
"Webb, Mr. Stephen",18/01/2017,,Hucknall,EXTERNAL MEETING,Rail,Standard,,,56.00,,Redfern
"Webb, Mr. Stephen",18/01/2017,,Nuneaton,EXTERNAL MEETING,Rail,Standard,,,25.40,,Redfern
"Wilkinson, Miss Sarah Fay",18/01/2017,,Hinckley,EXTERNAL MEETING,Rail,Standard,,,352.00,,Redfern
"Duffy, Mr. Philip",19/01/2017,,,Cross London Travel,T&S - Hotels,,,,2.40,,
"Duffy, Mr. Philip",19/01/2017,,Herne Hill,EXTERNAL MEETING,Rail,Standard,,,3.40,,Redfern
"France, Mr. David Paul",19/01/2017,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,41.80,,Redfern
"Hayes, Mr. Simon Thomas",19/01/2017,,,Travel from airport,T&S - Overseas Expenses,,,,25.00,,
"Hayes, Mr. Simon Thomas",19/01/2017,,,Hotel room,T&S - Overseas Expenses,,,,228.81,,
"Hayes, Mr. Simon Thomas",19/01/2017,,London Heathrow,EXTERNAL MEETING,Air Tickets,Economy,,,120.70,,Redfern
"Hills, Mr. Gareth David",19/01/2017,,,Hotel Costs,T&S - Overseas Expenses,,,,82.11,,
"Hills, Mr. Gareth David",19/01/2017,,,Residual rate of 72.0 less lunch of 18.5 as lunch was provided.,T&S - Overseas Expenses,,,,46.24,,
"Hills, Mr. Gareth David",19/01/2017,,Berlin Tegel,EXTERNAL MEETING,Air Tickets,Economy,,,142.70,,Redfern
"Ind, Mr. Hugh Timothy",19/01/2017,,,EDAG Meeting at Becket House,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Lloyd, Ms. Myrtle",19/01/2017,,,Taxi from home to railway station.  No suitable public transport.,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",19/01/2017,,,Left home at 06:30,T&S - Subsistence,,,,4.25,,
"Lloyd, Ms. Myrtle",19/01/2017,,,Overnight in Birmingham - dinner.,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",19/01/2017,,,Taxi from railway station to home.  No suitable public transport.,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",19/01/2017,,Birmingham,INTERNAL MEETING,,,Hotel Room,,84.60,,Redfern
"Lloyd, Ms. Myrtle",19/01/2017,,Birmingham New St,INTERNAL MEETING,Rail,Standard,,,74.80,,Redfern
"Lloyd, Ms. Myrtle",19/01/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Montgomery, Sir Charles Percival",19/01/2017,,London Heathrow,EXTERNAL MEETING,Air Tickets,Economy,,,127.70,,Redfern
"Montgomery, Sir Charles Percival",19/01/2017,,London Heathrow,EXTERNAL MEETING,Web Transaction,Economy,,,60.00,,Redfern
"Sutton, Mr. Kenneth David",19/01/2017,,,Unable to use public transport,Taxis,,,,5.50,,
"Sutton, Mr. Kenneth David",19/01/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,65.60,,Redfern
"Sutton, Mr. Kenneth David",19/01/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,21.70,,Redfern
"Sutton, Mr. Kenneth David",19/01/2017,,London Zones 1-4,EXTERNAL MEETING,Rail,Standard,,,12.80,,Redfern
"Sutton, Mr. Kenneth David",19/01/2017,,Stafford,EXTERNAL MEETING,Rail,Standard,,,62.90,,Redfern
"Webb, Mr. Stephen",19/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,6.00,,Redfern
"Wilkinson, Ms. Patsy",19/01/2017,,Feltham,EXTERNAL MEETING,Rail,Standard,,,13.90,,Redfern
"Williams, Ms. Wendy",19/01/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,147.00,,Redfern
"Hepple, Mr. Tyson Julian",20/01/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,69.00,,Redfern
"Hills, Mr. Gareth David",20/01/2017,,London Luton,EXTERNAL MEETING,Web Transaction,Premium Economy,,,54.99,,Redfern
"Sutton, Mr. Kenneth David",20/01/2017,,,Unable to use public transport,Taxis,,,,7.50,,
"Sutton, Mr. Kenneth David",20/01/2017,,Shortlands,EXTERNAL MEETING,Rail,Standard,,,185.50,,Redfern
"Silverman, Mr. Bernard Walter",21/01/2017,,Washington Nat,EXTERNAL MEETING,,,Hotel (Foreign) Concierge Queen Bedroom,,424.58,,Redfern
"Cunningham, Mr. Michael Bernard",22/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,352.00,,Redfern
"Cunningham, Mr. Michael Bernard",22/01/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Standard- One- King Size,,516.60,,Redfern
"Freston, Mrs. Penny",22/01/2017,,,Subsistence,T&S - Hotels,,,,38.94,,
"Freston, Mrs. Penny",22/01/2017,,,official travel Aus,Taxis,,,,16.22,,
"Eastaugh, Mr. Tony",23/01/2017,,Three Bridges,EXTERNAL MEETING,Rail,Standard,,,17.40,,Redfern
"Freston, Mrs. Penny",23/01/2017,,,Subsistence,T&S - Hotels,,,,17.70,,
"Freston, Mrs. Penny",23/01/2017,,,Subsistence,T&S - Hotels,,,,22.42,,
"Lincoln, Mr. Paul Michael",23/01/2017,,Nairobi,EXTERNAL MEETING,Air Tickets,Economy,,,"1,890.47",,Redfern
"Lloyd, Ms. Myrtle",23/01/2017,,London Heathrow,INTERNAL MEETING,,,Hotel One Double Bed,,375.60,,Redfern
"Pratt, Mr. Alan Palaic",23/01/2017,,,Meetings at Cranfield,T&S - Employee Reimbursed Mileage,,,,28.00,,
"Riach, Ms. Shona",23/01/2017,,Paris Gare Du Nord,EXTERNAL MEETING,Cont Rail,Standard,,,319.00,,Redfern
"Sedwill, Mr. Mark",23/01/2017,,Sherborne,EXTERNAL MEETING,Rail,Standard,,,70.50,,Redfern
"Williams, Ms. Wendy",23/01/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,132.50,,Redfern
"Arnott, Dr. Robert Henry",24/01/2017,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,182.50,,Redfern
"Cunningham, Mr. Michael Bernard",24/01/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Eastaugh, Mr. Tony",24/01/2017,,Bishops Stortford,EXTERNAL MEETING,Rail,Standard,,,33.00,,Redfern
"Ind, Mr. Hugh Timothy",24/01/2017,,,Taxi to St. Pancras - journey to Sheffield for Golden Threat Conference,Taxis,,,,18.00,,
"Ind, Mr. Hugh Timothy",24/01/2017,,Manchester,EXTERNAL MEETING,,,Hotel Deluxe,,85.60,,Redfern
"Ind, Mr. Hugh Timothy",24/01/2017,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,182.50,,Redfern
"Ind, Mr. Hugh Timothy",24/01/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Lloyd, Ms. Myrtle",24/01/2017,,,Taxi from home to railway station.  No suitable public transport.,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",24/01/2017,,,Tube from 2MS to hotel.,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",24/01/2017,,,Overnight in London - dinner.,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",24/01/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,282.00,,Redfern
"Sedwill, Mr. Mark",24/01/2017,,,Driving to and from official visit.,T&S - Employee Reimbursed Mileage,,,,25.23,,
"Shipley, Mr. Gordon Michael",24/01/2017,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,96.98,,Redfern
"Eastaugh, Mr. Tony",25/01/2017,,London Gatwick,EXTERNAL MEETING,,,Hotel Room,,251.60,,Redfern
"Freston, Mrs. Penny",25/01/2017,,,Subsistence,T&S - Hotels,,,,59.59,,
"Hayes, Mr. Simon Thomas",25/01/2017,,,Dinner for Director & 3 delegates,"T&S - Planes, Trains and Automobiles",,,,162.00,,
"Hayes, Mr. Simon Thomas",25/01/2017,,,Travel to St Pancras,"T&S - Planes, Trains and Automobiles",,,,7.80,,
"Hayes, Mr. Simon Thomas",25/01/2017,,Sheffield,EXTERNAL MEETING,,,Hotel Standard,,90.60,,Redfern
"Hayes, Mr. Simon Thomas",25/01/2017,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,187.50,,Redfern
"Hills, Mr. Gareth David",25/01/2017,,,Yellow Fever vaccination and Malaria tablets,Miscellaneous,,,,107.00,,
"Ind, Mr. Hugh Timothy",25/01/2017,,,Golden Thread Conference in Sheffield,T&S - Hotels,,,,2.50,,
