Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5036996,"25,500.00",,COMPASS 2012 Governance Level 3 agency Management Charges Sep 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5036996,"13,029.50",,Compass 2012 service del. infrastructure Xerox MFD click charges  Sep2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5036996,"30,880.20",,Unitary Charges Sept 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5036996,"38,015.42",,level 3 Management Charges Sept 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Transcriptions And Translation,Corporate,Mendip Media Group Ltd Tiverton,5036961,"54,025.56",,NC01329961,EX2 5AZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/11/2014,Crown Court Graduated Fee Scheme,North East Area,Woodcock Robert ,1465254,"28,607.35",Y,2003410331,NE1 3DQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,5037055,"6,144.20",,NC01410669,EH3 9QG,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,11/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,5037055,"65,432.33",,NC01410669,EH3 9QG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/11/2014,Crown Court Graduated Fee Scheme,London,Temple Victor ,1465734,"59,494.36",Y,6250399212,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/11/2014,Crown Court Graduated Fee Scheme,West Midlands Area,Lockhart Andrew ,1465965,"36,928.98",Y,3215417459,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/11/2014,Electricity,Corporate,EDF Energy,5037091,"8,652.98",,"Consumption charges, Rose Court",PL3 5XQ,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,12/11/2014,Electricity,Corporate,EDF Energy,5037091,"25,958.93",,"Consumption charges, Rose Court",PL3 5XQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3453935771,"1,673.48",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3453935771,"43,806.50",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3453935771,"469,691.06",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Rent,Corporate,DTZ Debenham Tie Leung,3453935771,"63,950.46",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5037136,"4,883.71",,NC01416535,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5037136,"32,163.20",,NC01416438,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5037136,"14,651.12",,NC01416535,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5037136,"11,245.61",,NC01416535,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5037136,"2,848.55",,NC01416438,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5037136,"33,736.82",,NC01416535,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5037136,"11,578.45",,NC01416535,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5037136,"67,126.39",,NC01416438,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5037136,"34,735.37",,NC01416535,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,14/11/2014,Reprographics - Lease/Hire Charges,London,Xerox (UK) Ltd,5037152,"-28,266.64",,inv 900121390,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/11/2014,Professional Charges,Finance Directorate,Bravo Solution UK Ltd,5037176,"31,526.40",,NC01397972,EC2M 7AD,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,19/11/2014,Global Crossing Quarterly Management Charge,Corporate,Level 3 Communications UK Limited,5037252,"157,162.53",,Level 3 April-June14,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5037242,"59,024.47",,BIS CCR Unitary charges Oct 14,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5037242,"124,548.07",,CCR Unitary Charges for OCt 14,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5037242,"25,500.00",,Level 3 Agency Charges Oct14,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/11/2014,New Works,Corporate,Bradford Watts Waltham Abbey,5037285,"56,878.19",,Carmelite House NR3 1SL Office refurb,EN9 1AS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/11/2014,Crown Court Graduated Fee Scheme,London,Jeremy David ,1469543,"26,488.07",Y,6250413951,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/11/2014,Crown Court Graduated Fee Scheme,London,Heywood Mark QC London ,1469878,"76,053.36",Y,6250412381,EC4Y 7DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/11/2014,Crown Court Graduated Fee Scheme,London,Heywood Mark QC London ,1469878,"27,294.62",Y,6250414076,EC4Y 7DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/11/2014,Crown Court Graduated Fee Scheme,Thames and Chiltern Area,Moore Neil ,1469538,"55,249.38",Y,5121422723,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/11/2014,Crown Court Graduated Fee Scheme,London,Denison Simon ,1469345,"32,092.63",Y,6250412544,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,20/11/2014,Crown Court Graduated Fee Scheme,Special Crime Division,Patterson Gareth ,1469344,"34,861.00",Y,7100422569,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/11/2014,New Works,Corporate,Orchard Build Ltd Essex,5037326,"334,069.02",,ref Riding Gate House,CO5 9SE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/11/2014,Crown Court Graduated Fee Scheme,London,Lucas Edward ,1470049,"44,469.48",Y,6314421782,WC1R 5AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/11/2014,Crown Court Graduated Fee Scheme,London,Atkinson Duncan ,1470034,"42,431.42",Y,6250412511,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/11/2014,Crown Court Graduated Fee Scheme,London,Cammerman Gideon Saul ,1470282,"43,230.31",Y,6314416530,EC4A 2AT,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/11/2014,Crown Court Graduated Fee Scheme,London,Plowright Joseph ,1470284,"28,813.25",Y,6314422004,WC1R 5AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,21/11/2014,Other Accommodation Costs,Corporate,Banner Business Supplies Limited,5037340,"33,907.18",,NC01422047,NR3 1QU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/11/2014,Crown Court Graduated Fee Scheme,London,Aylett Crispin David William  ,1470777,"26,450.15",Y,6250413811,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/11/2014,Crown Court Graduated Fee Scheme,London,Hunter Timothy ,1470676,"33,029.52",Y,6250419126,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/11/2014,Computer Services,Business Information Sys Dir,Mckesson Information Solutions,5037379,"188,592.60",,141014,CV34 6NZ,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,25/11/2014,Crown Court Very High Cost Cases,Central Fraud Group,Miskin Charles ,1471534,"41,919.50",Y,7503424174,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/11/2014,Crown Court Graduated Fee Scheme,Wessex Area,Bussey-Jones Elisabeth ,1471508,"26,009.10",Y,4908424259,EC4Y 7DE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5037388,"25,428.55",,CPSD IT links Charges Oct2014 COMPASS 2012,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/11/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3455839514,"-9,804.64",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3455839514,"-4,013.42",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,26/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3455839514,"-147,974.52",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/11/2014,Crown Court Graduated Fee Scheme,London,Reece Brian ,1472035,"68,105.70",Y,6314416516,EC4A 2AT,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,New Works,Corporate,Orchard Build Ltd Essex,5037466,"187,800.18",,Riding Gate House W09316,CO5 9SE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,Crown Court Graduated Fee Scheme,West Midlands Area,Hotten Christopher ,1472452,"38,156.70",Y,3217418428,B4 6DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,Crown Court Graduated Fee Scheme,East of England Area,Malik Amjad ,1472587,"41,610.08",Y,4344426749,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Mairs Robin ,1472205,"51,973.68",Y,2801423445,LS1 2SP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Macdonald Angus ,1472201,"34,524.02",Y,2801424186,LS1 2SP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,Logica / Xerox MFD click charges,Corporate,CGI IT UK Ltd,5037449,"222,896.68",,Xerox MFD charges Oct 14,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5037449,"30,674.40",,IT Links oct 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5037449,"13,029.50",,Xerox MFD charges Oct 14,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/11/2014,Managed Service (Contract Management) - Non IT/Non Telephony,Yorkshire and Humberside Area,Xerox (UK) Ltd,5037480,"48,758.10",,010714-300914 arrears charge,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/11/2014,Managed Service (Contract Management) - Non IT/Non Telephony,Yorkshire and Humberside Area,Xerox (UK) Ltd,5037480,"48,758.10",,Arrears Charge 010414-300614,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/11/2014,Managed Service (Contract Management) - Non IT/Non Telephony,Yorkshire and Humberside Area,Xerox (UK) Ltd,5037480,"-49,546.20",,re inv 900121456 & 900124389  removal of the equipment charge as stated in CCN15,UB8 1HS,Not available,Not available,Not available,Programme
