"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"24031","Lindsey Fussell","SCS2","Director, Public Services","Responsible for Oversight of Major Public Service Expenditure","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","26072","0","1.00","85000","89999","","Policy","","1"
"24032","Jonathan Black","SCS2","Director, Europe","Responsible for Europe Finance","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25448","0","1.00","85000","89999","","Policy","","1"
"24033","Lowri Khan","SCS2","Director Financial Stability","Responsible to monitor, contingency plan and intervene were necessary in situations of financial stability; and to manage the legacy of the financial sector interventions the Government has already undertaken.","Her Majesty's Treasury","HM Treasury","Financial Stability","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24775","0","1.00","85000","89999","","Policy","","1"
"24036","James Bowler","SCS2","Director Strategy Planning and Budget","Responsible for defining forward strategy, work programme, the budget, and short-term priority policy projects","Her Majesty's Treasury","HM Treasury","Strategy, Planning and  Budget","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","100000","104999","","Policy","","1"
"24058","Shona Riach","SCS2","Director International","Responsible for advancing the UK's economic and financial interests","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25448","0","1.00","85000","89999","","Policy","","1"
"24059","James Richardson","SCS2","Director, Fiscal Policy","Responsible for Fiscal strategy, funding, and dept management, and montoring fiscal position.","Her Majesty's Treasury","HM Treasury","Fiscal","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24041","0","1.00","85000","89999","","Policy","","1"
"24064","Alison Cottrell","SCS2","Director Financial Services","Responsible for Financial Services Policy issues","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24775","0","1.00","95000","99999","","Policy","","1"
"25705","David Allen","SCS2","Director, Public Spending Group","Responsible for Spending Control, Pay and Pensions","Her Majesty's Treasury","HM Treasury","Public Spending","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","26072","0","1.00","115000","119999","","Policy","","1"
"25915","Katharine Braddick","SCS2","Director Financial Services","Responsible for EU and international policy and engagement strategy.","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24775","0","1.00","125000","129999","","Policy","","1"
"26249","Robert Woods","SCS2","Director Economics","Responsible for Economics","Her Majesty's Treasury","HM Treasury","Economics","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24041","0","1.00","85000","89999","","Economics","","1"
"27271","Jon Whitfield","SCS2","Deputy Director, Public Spending","Responsible for setting up the Government Internal Audit Agency","Her Majesty's Treasury","HM Treasury","Public Spending","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","26072","0","1.00","85000","89999","","Policy","","1"
"27624","Catherine Frances","SCS2","Director, Public Services","Responsible for Oversight of Major Public Service Expenditure","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","26072","0","0.80","65000","69999","","Policy","Part time 0.8 FTE","1"
"27896","Susan Acland-Hood","SCS2","Director, Enterprise & Growth Unit","Responsible for Expenditure and Policy on Growth-Related Services and Business","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23164","0","1.00","90000","94999","","Policy","","1"
"21007","James Ballingall","SCS1A","IUK Comm Specialist","Responsible for Infrastructure UK international work","Her Majesty's Treasury","HM Treasury","Infrastructure UK (IUK)","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24038","0","1.00","185000","189999","","Policy","Not graded so allocated SCS1A","1"
"24350","N/D","SCS1","Deputy Director, Tax Administration, Spending and Reform","Responsible for Tax administration,HMRC Spending and tax avoidance/compliance","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24030","0","0.80","N/A","N/A","","Policy","Parental Leave","1"
"27807","N/D","SCS1","Deputy Director, EU Financing","Responsible for all aspects of EU financing","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24032","221872","0.90","N/A","N/A","","Policy","Part time 0.9 FTE","1"
"25793","N/D","SCS1","Deputy Director, EU Economics Reform","Responsible for EU Economics and reform","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24032","306747","1.00","N/A","N/A","","Policy","","1"
"27851","N/D","SCS1","Deputy Director, Financial Services Competitiveness","Responsible for  EU Banking and Financial Services Strategy","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25915","307937","1.00","N/A","N/A","","Policy","","1"
"23965","N/D","SCS1","Deputy Director, Internal Audit, HM Treasury & DECC and Deputy Head of Government Internal Audit","Responsible for Government Internal Audit and Assurance Policy","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24025","319459","1.00","N/A","N/A","","Policy","","1"
"26142","N/D","SCS1","Deputy Director, Insurance and UK Regulatory Authorities","Responsible for Insurance and Savings","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24064","330606","1.00","N/A","N/A","","Policy","","1"
"27370","N/D","SCS1","Deputy Director, Tax Administration, Spending and Reform","Responsible for tax administration,HMRC spending and tax avoidance/compliance","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24030","352727","1.00","N/A","N/A","","Policy","","1"
"27389","N/D","SCS1","Deputy Director, EU Financing","Responsible for all aspects of EU financing","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24032","383913","1.00","N/A","N/A","","Policy","","1"
"26218","N/D","SCS1","Deputy Director, Assets, Savings, and Consumers","Responsible for policy towards the asset management sector and consumer financial services issues and for regulatory (i.e. non-tax) aspects of savings policy","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24064","391698","1.00","N/A","N/A","","Policy","","1"
"27270","N/D","SCS1","Deputy Director, Government Economic and Social Research","Responsible for the Government Economic and Social Research Professions","Her Majesty's Treasury","HM Treasury","Economics","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24041","396169","0.80","N/A","N/A","","Social Research","Part time 0.8 FTE","1"
"26003","N/D","SCS1","Deputy Director, Education, Children, and Culture","Responsible for Education, Children,and Culture","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24031","403577","0.60","N/A","N/A","","Policy","Part time 0.6 FTE","1"
"25134","N/D","SCS1","Deputy Director, Infrastructure UK  Policy and Strategy","Responsible for Infrastructure UK Policy and Strategy","Her Majesty's Treasury","HM Treasury","Infrastructure UK (IUK)","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24038","406364","1.00","N/A","N/A","","Policy","","1"
"24056","N/D","SCS1","Deputy Director, Home and Legal","Responsible for Home and Legal","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24031","413223","1.00","N/A","N/A","","Policy","","1"
"24051","N/D","SCS1","Deputy Director, Health","Responsible for health and social care","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27624","429570","1.00","N/A","N/A","","Policy","","1"
"24549","N/D","SCS1","Deputy Director, Macroeconomic Coordination & Strategy","Responsible for Macroeconomic Coordination & Strategy","Her Majesty's Treasury","HM Treasury","Economics","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24041","448432","1.00","N/A","N/A","","Economics","","1"
"24884","N/D","SCS1","Deputy Director, Housing Planning and Cities","Responsible for Housing Planning and Cities","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27624","474275","1.00","N/A","N/A","","Policy","","1"
"25777","N/D","SCS1","Deputy Director, Treasury Officer of Accounts","Responsible for Treasury Accounts","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27624","477162","1.00","N/A","N/A","","Policy","","1"
"23953","N/D","SCS1","Deputy Director, Transport","Responsible for Transport","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27896","482227","1.00","N/A","N/A","","Policy","","1"
"24274","N/D","SCS1","Deputy Director, Equitable Life and International Tax","Responsible for International Tax, State Aids and the Equitable Life Payment Scheme.","Her Majesty's Treasury","HM Treasury","Business and International Tax","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24027","518179","1.00","N/A","N/A","","Policy","","1"
"24054","N/D","SCS1","Deputy Director, Defence,Diplomacy and Intelligence","Responsible for Defence,Diplomacy and Intelligence","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24031","537541","1.00","N/A","N/A","","Policy","","1"
"25142","N/D","SCS1","Deputy Director, Debt and Reserves Management and Intervention Strategy and Markets","Responsible for Debt Reserves Management","Her Majesty's Treasury","HM Treasury","Fiscal","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24059","553096","1.00","N/A","N/A","","Policy","","1"
"27047","N/D","SCS1","Deputy Director, International Institutions and Policy","Responsible for International Institutions and Policy","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24058","554264","1.00","N/A","N/A","","Policy","","1"
"26441","N/D","SCS1","Deputy Director, Corporate Finance, Business, Innovation and Skills","Responsible for spending control for BIS, policy on higher education, skills, science and innovation, and advice on corporate finance and the Government's asset sales strategy.","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27896","557891","1.00","N/A","N/A","","Policy","","1"
"25807","N/D","SCS1","Deputy Director, Workforce Pay and Pensions","Responsible for Pay and Pensions policy","Her Majesty's Treasury","HM Treasury","Public Spending","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25705","576610","1.00","N/A","N/A","","Policy","","1"
"27833","N/D","SCS1","Deputy Director, Energy, Environment and Agriculture","Responsible for Energy, Environment and Agriculture","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27896","585468","1.00","N/A","N/A","","Policy","","1"
"23989","N/D","SCS1","Deputy Director, EU Institutions and Policy","Responsible for co-ordination of EU policy, economic reform and governance","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24032","595462","1.00","N/A","N/A","","Policy","","1"
"24016","N/D","SCS1","Deputy Director, Growth and Productivity","Responsible for Growth and Productivity","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27896","624126","1.00","N/A","N/A","","Policy","","1"
"25259","N/D","SCS1","Deputy Director,Labour Markets, Distributional Analysis and Housing Benefit.","Responsible for Labour Markets, Distributional Analysis and Housing Benefit.","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24030","840224","1.00","N/A","N/A","","Policy","","1"
"26077","N/D","SCS1","Deputy Director. Pensions and Savings","Responsible for Pensions and Savings","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24030","653183","1.00","N/A","N/A","","Policy","","1"
"24744","N/D","SCS1","Deputy Director, Competition, Markets, and Regulation","Responsible for Competition, Markets, and Regulation","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27896","660937","0.70","N/A","N/A","","Policy","Part time 0.7 FTE","1"
"23950","N/D","SCS1","Treasury Accountant, Head of Exchequer Funds and Accounts","Responsible for Exchequer Funds and Accounts","Her Majesty's Treasury","HM Treasury","Fiscal","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24059","683807","1.00","N/A","N/A","","Finance","","1"
"26715","N/D","SCS1","Deputy Director, Strategy Planning and Projects","Responsible for Strategy, Planning and Projects","Her Majesty's Treasury","HM Treasury","Strategy, Planning and  Budget","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24036","696704","1.00","N/A","N/A","","Policy","","1"
"26248","N/D","SCS1","Deputy Director, Welfare Spending and Reform","Responsible for Welfare Spending and Reform","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24030","708496","1.00","N/A","N/A","","Policy","","1"
"24638","N/D","SCS1","Deputy Director, Global Economics","Responsible for analysis and advice on key global economic issues","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24058","708914","1.00","N/A","N/A","","Policy","","1"
"23999","N/D","SCS1","Deputy Director, Securities and Markets","Responsible for Securties and Markets","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25915","709633","1.00","N/A","N/A","","Policy","","1"
"27250","N/D","SCS1","Deputy Director, System Stability and Analysis","Responsible for the UK’s policy framework for systemic financial stability andthe Financial Stability Group’s Analytical Unit","Her Majesty's Treasury","HM Treasury","Financial Stability","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24033","712277","0.80","N/A","N/A","","Policy","Part time 0.8 FTE","1"
"26798","N/D","SCS1","Deputy Director, Fiscal Statistics and Policy","Responsible forlFiscal Statistics and Policy","Her Majesty's Treasury","HM Treasury","Fiscal","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24059","713297","1.00","N/A","N/A","","Policy","","1"
"27274","N/D","SCS1","Deputy Director. Resilience and Resolution","Responsible for Resilience and Resolution","Her Majesty's Treasury","HM Treasury","Financial Stability","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24033","783964","0.80","N/A","N/A","","Policy","","1"
"24057","N/D","SCS1","Deputy Director, Personal Taxation","Responsible for Personal Taxation","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24030","812136","1.00","N/A","N/A","","Policy","","1"
"23995","N/D","SCS1","Deputy Director, Banking and Credit","Responsible for policy on business and consumer lending, mortgages and funding, retail banking issues, payment services and mutual financial institutions","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24064","815512","1.00","N/A","N/A","","Policy","","1"
"23966","N/D","SCS1","Deputy Director, Corporate Tax","Responsible for Policy on Corporate and Financial Sector Taxation","Her Majesty's Treasury","HM Treasury","Business and International Tax","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24027","843309","1.00","N/A","N/A","","Policy","","1"
"25203","N/D","SCS1","Deputy Director, Group Finance","Responsible for Group Finance","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24025","847349","1.00","N/A","N/A","","Finance","","1"
"26179","N/D","SCS1","Deputy Director, Government Economic and Social Research","Responsible for Economics","Her Majesty's Treasury","HM Treasury","Economics","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24041","884310","1.00","N/A","N/A","","Economics","","1"
"25140","N/D","SCS1","Deputy Director, Sanctions  and Counter Illicit Finance","Responsible for Sanctions and Counter Illicit Finance","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24058","893645","1.00","N/A","N/A","","Policy","","1"
"26247","N/D","SCS1","Deputy Director, EU Banking & Financial Services Strategy","Responsible for managing EU financial services strategy","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25915","0","1.00","N/A","N/A","","Policy","Parental Leave","1"
"26791","N/D","SCS1","Deputy Director, Budget & Tax Strategy","Responsible for delivering the Budget and Autumn Statement, the Finance Bill, and for the coordination of tax strategy","Her Majesty's Treasury","HM Treasury","Strategy, Planning and  Budget","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24036","974385","1.00","N/A","N/A","","Policy","","1"
"23967","N/D","SCS1","Deputy Director, Environment and Transport Tax","Responsible for Environment and Transport Tax","Her Majesty's Treasury","HM Treasury","Business and International Tax","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24027","1029619","1.00","N/A","N/A","","Policy","","1"
"24005","N/D","SCS1","Deputy Director, Communications","Responsible for Communications","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","1035638","1.00","N/A","N/A","","Communications","","1"
"24253","N/D","SCS1","Deputy Director, Enterprise and Property Tax","Responsible for policy on property taxes and tax measures to support investment in and by business","Her Majesty's Treasury","HM Treasury","Business and International Tax","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24027","1059377","0.80","N/A","N/A","","Policy","Part time 0.8 FTE","1"
"24888","N/D","SCS1","Deputy Director, Devolved and Local Government","Responsible for Devolved and Local Government","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24031","1062759","1.00","N/A","N/A","","Policy","","1"
"26020","N/D","SCS1","Deputy Director General Expenditure Policy","Responsible for General Expenditure Policy","Her Majesty's Treasury","HM Treasury","Public Spending","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","26072","1274424","1.00","N/A","N/A","","Policy","","1"
"27044","N/D","SCS1","Deputy Director, Planning and Performance","Responsible for Government Finance Profession Planning and Performance","Her Majesty's Treasury","HM Treasury","Public Spending","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25705","1446102","1.00","N/A","N/A","","Policy","","1"
"24363","N/D","SCS1","Deputy Director, Group Human Resources","Responsible for providing HR policies and services, including business partnering, recruitment, learning and development, casework, health and wellbeing and diversity.","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27068","1458136","1.00","N/A","N/A","","Human Resources","","1"
"27266","N/D","SCS1","Deputy Director, Pensions Guarantee Guidance Programme","Responsible for the Pensions Guarantee Guidance Programme","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24064","1739100","1.00","N/A","N/A","","Policy","","1"
"27761","N/D","SCS1","Deputy Director, Information Workspace Solutions","Responsible for Managing Business Processes, Systems, Contracts and Service Delivery, ICT and Estates Infrastructure and Sustainability, Information and Knowledge Management, Business Continuity and Departmental Security","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24025","1778649","1.00","N/A","N/A","","Information Technology","","1"
"23984","N/D","SCS1","Deputy Director, Ministerial Support","Responsible for Ministerial Support","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","1833706","1.00","N/A","N/A","","Policy","","1"
"24010","N/D","SCS1","Deputy Director, Economic Assessment and Economics of th Union and Model Unit","Responsible for Economics of the Union and Model Unit","Her Majesty's Treasury","HM Treasury","Economics","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24041","0","1.00","N/A","N/A","","Economics","","1"
"25062","N/D","SCS1","Deputy Director, Government Financial Reporting","Responsible for Government Financial reporting","Her Majesty's Treasury","HM Treasury","Public Spending","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25705","0","1.00","N/A","N/A","","Policy","","1"
"25648","N/D","SCS1","Deputy Director,European Parliament Policy and Strategy","Responsible for European Parliament policy and Strategy","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24032","0","1.00","N/A","N/A","","Policy","","1"
"25698","N/D","SCS1","Deputy Director. Pensions and Savings","Responsible for Pensions and Savings","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24030","0","0.60","N/A","N/A","","Policy","Parental Leave","1"
"25957","N/D","SCS1","Deputy Director, Markets for Government Service","Responsible for Markets for Government Services","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","27896","0","1.00","N/A","N/A","","Policy","","1"
"26175","N/D","SCS1","Deputy Director, Guidance Guarantee Implementation","Responsible for the Guidance Guarantee Programme","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24064","0","1.00","N/A","N/A","","Policy","","1"
"27248","N/D","SCS1","Deputy Director, Education, Children, and Culture","Responsible for Education, Children,and Culture","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24031","0","0.60","N/A","N/A","","Policy","Part time 0.6 FTE","1"
"27615","N/D","SCS1","Deputy Director, Financial Stability","Responsible to monitor, contingency plan and intervene were necessary in situations of financial stability; and to manage the legacy of the financial sector interventions the Government has already undertaken.","Her Majesty's Treasury","HM Treasury","Financial Stability","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24033","0","1.00","N/A","N/A","","Policy","Parental Leave","1"
"27623","N/D","SCS1","Deputy Director, Financial Stability: State-owned Financial Assets","Responsible for Government's interests in Financial Stability: State-owned Financial Assets","Her Majesty's Treasury","HM Treasury","Financial Stability","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","24033","0","1.00","N/A","N/A","","Policy","","1"
"27709","N/D","SCS1","Deputy Director, EU Banking & Financial Services Strategy","Responsible for managing EU financial services strategy","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","25915","935583","1.00","N/A","N/A","","Policy","","1"
