Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3458472533,"3,308.65",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3458472533,"43,806.50",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3458472533,"120,574.50",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,Rent,Corporate,DTZ Debenham Tie Leung,3458472533,"380,360.00",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,Rent,Corporate,DTZ Debenham Tie Leung,3458472533,"977,805.00",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,Crown Court Very High Cost Cases,Central Fraud Group,Miskin Charles ,1477631,"28,453.00",Y,7503434771,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,Presentational Equipment,Central Fraud Group,Impact Marcom Ltd,5037781,"26,532.00",,NC01426798,TW16 7HB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/12/2014,Professional Charges,Corporate,Crimeline Training Ltd Wigan,5037815,"29,353.99",,NC01428876,WN1 1QP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/12/2014,Crown Court Very High Cost Cases,Central Fraud Group,Munday Andrew ,1478003,"41,232.80",Y,7501433019,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,12/12/2014,Other Accommodation Costs,Corporate,Banner Business Supplies Limited,5037819,"28,757.74",,NC01435291,NR3 1QU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3459044585,"19,420.10",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3459044585,"561,171.25",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3459044585,"4,687.00",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3459044585,"436,731.75",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Provision for Dilapidations Used in Year,Corporate,DTZ Debenham Tie Leung,3459044585,"27,022.79",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Rent,Corporate,DTZ Debenham Tie Leung,3459044585,"64,196.70",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Rent,Corporate,DTZ Debenham Tie Leung,3459044585,"2,734,198.82",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Crown Court Very High Cost Cases,Central Fraud Group,Munday Andrew ,1478446,"33,107.40",Y,7501431183,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Crown Court Very High Cost Cases,Central Fraud Group,Sutton Richard ,1478294,"26,112.84",Y,7503435250,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,Crown Court Very High Cost Cases,Cymru/Wales Area,Jones Andrew ,1478672,"45,915.00",Y,6019436080,CF10 3BA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,15/12/2014,File Storage,Business Information Sys Dir,Iron Mountain Ltd,5037847,"59,768.26",,records management,EH54 7DF,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,16/12/2014,Crown Court Very High Cost Cases,Central Fraud Group,Sutton Richard ,1478898,"35,758.20",Y,7503436296,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/12/2014,Crown Court Graduated Fee Scheme,London,Brown Edward Francis Trevenen ,1479052,"35,612.12",Y,6250433391,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/12/2014,Crown Court Graduated Fee Scheme,London,Johnson Zoe ,1479047,"25,381.60",Y,6250433558,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/12/2014,Crown Court Graduated Fee Scheme,London,Dawes James ,1479096,"29,189.46",Y,6250436750,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,16/12/2014,Crown Court Graduated Fee Scheme,London,Brown James Richard Charles ,1479182,"27,501.96",Y,6316432426,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/12/2014,Crown Court Graduated Fee Scheme,London,Smart Roger ,1479347,"54,721.32",Y,6316435968,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/12/2014,Crown Court Graduated Fee Scheme,London,Baker Tom ,1479346,"37,007.82",Y,6316435967,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,17/12/2014,Legal Professional Services Advice,Human Resource Directorate,Simons Muirhead and Burton Soho,5037906,"37,319.28",,period 031114 - 271114,W1D 3JB,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,18/12/2014,New Works,Corporate,Bradford Watts Waltham Abbey,5037917,"37,179.71",,Carrying out works in accordance,EN9 1AS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/12/2014,Crown Court Graduated Fee Scheme,Wessex Area,Lickley Nigel ,1480003,"26,943.90",Y,4952438630,EC4Y 7EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/12/2014,Crown Court Graduated Fee Scheme,East Midlands Area,Lucking A ,1480050,"64,007.48",Y,3761438504,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/12/2014,Crown Court Graduated Fee Scheme,South West Area,Laws Simon ,1480067,"42,385.00",Y,5213432625,EX4 4DW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,18/12/2014,Crown Court Graduated Fee Scheme,London,Whitehouse Sarah ,1479797,"38,101.92",Y,6250433768,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/12/2014,Crown Court Very High Cost Cases,"Welfare, Rural and Health Prosecutions Division",Cottage Rosina ,1480371,"33,802.30",Y,7605418417,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/12/2014,Crown Court Graduated Fee Scheme,East Midlands Area,Gibbs Philip ,1480265,"31,587.85",Y,3761438463,NG1 1HF,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/12/2014,Crown Court Very High Cost Cases,"Welfare, Rural and Health Prosecutions Division",Jones Gillian H ,1480428,"26,919.00",Y,7606423179,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,19/12/2014,Electricity,Corporate,EDF Energy,5037952,"7,758.29",,SE1 9HS 011114-301114,PL3 5XQ,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,19/12/2014,Electricity,Corporate,EDF Energy,5037952,"23,274.85",,SE1 9HS 011114-301114,PL3 5XQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/12/2014,Global Crossing Quarterly Management Charge,Corporate,Level 3 Communications UK Limited,5038007,"160,382.02",,Jul-Sep 14 QSC charges,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/12/2014,Logica / Xerox MFD click charges,Corporate,CGI IT UK Ltd,5037991,"187,031.88",,Xerox MFD charges Nov 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/12/2014,Logica contract,Business Information Sys Dir,CGI IT UK Ltd,5037991,"575,565.60",,CCR5945 Hardware - Capacity Increase,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/12/2014,Logica contract,Corporate,CGI IT UK Ltd,5037991,"126,057.43",,CCR Charges Nov 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/12/2014,Logica contract,Corporate,CGI IT UK Ltd,5037991,"13,029.50",,Xerox MFD charges Nov 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,Contractor/Service Provision - Property/Estates,Corporate,DTZ Debenham Tie Leung,231214,-163.77,,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,231214,"-24,954.31",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,231214,"-224,750.39",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,Crown Court Graduated Fee Scheme,South West Area,Dent Stephen ,1481533,"42,913.70",Y,5210440724,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,Crown Court Graduated Fee Scheme,South West Area,Unsworth Ian ,1481560,"32,809.07",Y,5210437864,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,Crown Court Graduated Fee Scheme,West Midlands Area,Hankin Jonas ,1481797,"72,983.53",Y,3217440020,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,Crown Court Graduated Fee Scheme,South West Area,Vigars Anna ,1481531,"66,634.74",Y,5210438002,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,Crown Court Very High Cost Cases,"Welfare, Rural and Health Prosecutions Division",Thacker James ,1481528,"36,589.44",Y,7605440759,EC4A 3DG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/12/2014,Logica contract,Business Information Sys Dir,CGI IT UK Ltd,5038031,"54,957.00",,CCR6041 Increase JRAS Concurrent Licencing,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/12/2014,Crown Court Very High Cost Cases,Central Fraud Group,Jeremy David ,1482006,"45,360.00",Y,7504439973,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/12/2014,Crown Court Graduated Fee Scheme,South West Area,Fitton Michael ,1481987,"86,934.95",Y,5213433313,BS1 1DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/12/2014,Crown Court Graduated Fee Scheme,Special Crime Division,Darbishire Adrian ,1482003,"45,516.47",Y,7101441519,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,24/12/2014,Crown Court Graduated Fee Scheme,Special Crime Division,Ledward Jocelyn ,1482001,"25,691.16",Y,7101441568,EC4R 0EU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/12/2014,Internal Training,Human Resource Directorate,Lumesse Limited Luton,5038097,"39,307.80",,BSBS01 - 50% invoice for Transforming Summary Justiuce,LU1 3LU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/12/2014,Crown Court Graduated Fee Scheme,South West Area,Lowe Rupert ,1482389,"28,089.23",Y,5213440273,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/12/2014,New Works,Corporate,Skyline Office Interiors Ltd,5038085,"80,437.30",,Interim payment 02 as DTX Payment - CPS works no 9329,SW1W 0BS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/12/2014,Logica contract,Business Information Sys Dir,CGI IT UK Ltd,5038071,"109,485.00",,CCR5511 - Prof Services Jul-Sep 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/12/2014,Logica contract,Corporate,CGI IT UK Ltd,5038071,"30,674.40",,IT LINKS Nov 2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/12/2014,Logica contract,Corporate,CGI IT UK Ltd,5038071,"25,500.00",,Level 3 Agency Management Nov 14,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/12/2014,Internal Training,Human Resource Directorate,Lumesse Limited Luton,5038111,"25,672.80",,50% invoice update to portal homepage,LU1 3LU,Not available,Not available,Not available,Administration
